ZipCode;Latitude;Longitude
10001;40.752;-73.995
10002;40.716;-73.988
10003;40.732;-73.990
10004;40.704;-74.012
10005;40.708;-74.012
10006;40.711;-74.013
10007;40.713;-74.010
10008;40.712;-74.007
10009;40.725;-73.980
10010;40.742;-73.988
10011;40.742;-73.999
10012;40.724;-73.996
10013;40.720;-74.004
10014;40.734;-74.005
10015;40.713;-74.010
10016;40.745;-73.981
10017;40.751;-73.972
10018;40.755;-73.992
10019;40.764;-73.987
10020;40.759;-73.979
10021;40.769;-73.961
10022;40.756;-73.970
10023;40.777;-73.983
10024;40.787;-73.979
10025;40.800;-73.970
10026;40.803;-73.953
10027;40.812;-73.954
10028;40.778;-73.955
10029;40.790;-73.947
10030;40.818;-73.944
10031;40.827;-73.948
10032;40.837;-73.940
10033;40.848;-73.936
10034;40.867;-73.921
10035;40.803;-73.941
10036;40.759;-73.990
10037;40.815;-73.938
10038;40.706;-74.004
10039;40.826;-73.936
10040;40.858;-73.928
10041;40.708;-74.014
10043;40.760;-73.973
10044;40.761;-73.946
10045;40.691;-74.012
10046;40.713;-74.009
10047;40.710;-74.011
10048;40.716;-74.008
10055;40.760;-73.969
10060;40.749;-73.998
10069;40.770;-73.988
10072;40.753;-74.001
10079;40.715;-74.006
10080;40.698;-73.981
10081;40.710;-74.006
10082;40.776;-73.985
10087;40.756;-73.973
10090;40.755;-73.994
10094;40.715;-74.006
10095;40.749;-73.990
10096;40.715;-74.006
10098;40.716;-74.013
10099;40.752;-74.000
10101;40.767;-73.991
10102;40.765;-73.983
10103;40.757;-73.975
10104;40.761;-73.978
10105;40.762;-73.975
10106;40.767;-73.984
10107;40.768;-73.988
10108;40.759;-73.993
10109;40.761;-73.989
10110;40.724;-73.980
10111;40.759;-73.979
10112;40.761;-73.982
10113;40.743;-73.999
10114;40.743;-74.000
10115;40.815;-73.954
10116;40.814;-73.953
10117;40.752;-73.995
10118;40.749;-73.996
10119;40.751;-73.999
10120;40.749;-73.998
10121;40.750;-73.999
10122;40.750;-73.997
10123;40.750;-74.001
10124;40.757;-73.970
10125;40.753;-74.001
10126;40.761;-73.971
10128;40.780;-73.950
10129;40.756;-73.991
10130;40.755;-74.004
10131;40.786;-73.950
10132;40.785;-73.982
10133;40.777;-73.984
10138;40.756;-73.989
10149;40.764;-73.985
10150;40.758;-73.973
10151;40.764;-73.977
10152;40.759;-73.972
10153;40.763;-73.973
10154;40.757;-73.971
10155;40.761;-73.966
10156;40.746;-73.981
10157;40.744;-73.977
10158;40.755;-73.967
10159;40.739;-73.984
10160;40.739;-73.984
10161;40.747;-74.005
10162;40.767;-73.959
10163;40.755;-73.968
10164;40.752;-73.977
10165;40.755;-73.980
10166;40.755;-73.977
10167;40.756;-73.975
10168;40.751;-73.977
10169;40.798;-73.946
10170;40.749;-73.977
10171;40.758;-73.972
10172;40.741;-73.987
10173;40.754;-73.980
10174;40.749;-73.977
10175;40.754;-73.983
10176;40.753;-73.982
10177;40.738;-73.986
10178;40.753;-73.979
10179;40.755;-73.976
10184;40.713;-74.003
10185;40.758;-73.991
10196;40.715;-74.007
10197;40.757;-73.968
10199;40.726;-73.979
10203;40.712;-74.012
10211;40.732;-73.990
10212;40.713;-74.010
10213;40.718;-74.006
10242;40.715;-74.010
10249;40.715;-74.009
10256;40.706;-74.011
10257;40.712;-74.003
10258;40.714;-74.008
10259;40.754;-73.973
10260;40.703;-74.013
10261;40.750;-73.975
10265;40.703;-74.013
10268;40.707;-74.012
10269;40.702;-74.010
10270;40.703;-74.008
10271;40.706;-74.007
10272;40.761;-74.005
10273;40.711;-74.003
10274;40.706;-74.012
10275;40.702;-74.014
10276;40.734;-73.989
10277;40.718;-74.016
10278;40.711;-74.009
10279;40.714;-74.010
10280;40.712;-74.019
10281;40.717;-74.013
10282;40.714;-74.008
10285;40.711;-74.015
10286;40.706;-74.008
10292;40.708;-74.004
11201;40.696;-73.993
11202;40.692;-73.991
11203;40.650;-73.938
11204;40.620;-73.986
11205;40.695;-73.966
11206;40.703;-73.943
11207;40.669;-73.896
11208;40.674;-73.873
11209;40.624;-74.034
11210;40.629;-73.946
11211;40.714;-73.952
11212;40.663;-73.912
11213;40.672;-73.936
11214;40.599;-73.997
11215;40.666;-73.986
11216;40.680;-73.950
11217;40.684;-73.980
11218;40.642;-73.976
11219;40.631;-73.998
11220;40.643;-74.016
11221;40.694;-73.927
11222;40.728;-73.949
11223;40.597;-73.973
11224;40.577;-73.995
11225;40.662;-73.955
11226;40.647;-73.955
11228;40.621;-74.015
11229;40.603;-73.949
11230;40.619;-73.966
11231;40.680;-74.005
11232;40.657;-74.006
11233;40.672;-73.925
11234;40.619;-73.923
11235;40.583;-73.952
11236;40.640;-73.904
11237;40.705;-73.922
11238;40.679;-73.962
11239;40.648;-73.877
11240;40.623;-73.993
11241;40.697;-73.994
11242;40.692;-73.989
11243;40.680;-73.981
11244;40.682;-73.982
11245;40.693;-73.986
11247;40.676;-73.966
11248;40.699;-73.993
11249;40.751;-74.001
11251;40.702;-73.967
11252;40.625;-74.031
11254;40.699;-73.993
11255;40.695;-73.989
11256;40.692;-73.989
10451;40.820;-73.920
10452;40.842;-73.922
10453;40.853;-73.914
10454;40.809;-73.917
10455;40.813;-73.904
10456;40.830;-73.907
10457;40.846;-73.903
10458;40.859;-73.891
10459;40.828;-73.896
10460;40.837;-73.881
10461;40.845;-73.843
10462;40.841;-73.857
10463;40.882;-73.908
10464;40.863;-73.810
10465;40.823;-73.826
10466;40.890;-73.846
10467;40.885;-73.871
10468;40.868;-73.896
10469;40.869;-73.849
10470;40.901;-73.861
10471;40.904;-73.904
10472;40.831;-73.870
10473;40.819;-73.857
10474;40.810;-73.886
10475;40.877;-73.830
10499;40.827;-73.824
10301;40.622;-74.100
10302;40.630;-74.138
10303;40.629;-74.163
10304;40.603;-74.090
10305;40.595;-74.078
10306;40.567;-74.121
10307;40.510;-74.240
10308;40.553;-74.150
10309;40.531;-74.213
10310;40.631;-74.118
10311;40.605;-74.181
10312;40.543;-74.179
10313;40.615;-74.124
10314;40.606;-74.152
11351;40.781;-73.831
11352;40.753;-73.821
11354;40.770;-73.826
11355;40.754;-73.821
11356;40.786;-73.844
11357;40.784;-73.812
11358;40.760;-73.799
11359;40.789;-73.777
11360;40.776;-73.780
11361;40.765;-73.778
11362;40.762;-73.730
11363;40.773;-73.747
11364;40.747;-73.762
11365;40.739;-73.790
11366;40.729;-73.798
11367;40.728;-73.819
11368;40.753;-73.855
11369;40.764;-73.871
11370;40.760;-73.891
11371;40.776;-73.875
11372;40.750;-73.883
11373;40.739;-73.879
11374;40.727;-73.862
11375;40.721;-73.850
11377;40.743;-73.906
11378;40.726;-73.904
11379;40.716;-73.883
11380;40.743;-73.885
11381;40.716;-73.876
11385;40.706;-73.892
11386;40.700;-73.895
11390;40.788;-73.812
